"","Date","pH_ScientificUnits","Salinity_PartsPerThousand","WaterTemp_Celcius","Turbidity_FNU","DissOxy_MilligramPerLitre"
"120",2017-05-01 13:00:00,8.16,28.16043045,27.1,5.86,6.77
"121",2017-05-01 14:00:00,8.18,28.20591166,27.33,5.98,7.14
"122",2017-05-01 15:00:00,8.19,28.38620206,27.51,6.36,7.32
"123",2017-05-01 16:00:00,8.19,27.99116434,27.48,5.56,7.73
"124",2017-05-01 17:00:00,8.19,28.2432921,27.46,5.97,7.5
"125",2017-05-01 18:00:00,8.19,28.15800274,27.42,4.84,7.15
"126",2017-05-01 19:00:00,8.19,28.09396096,27.34,5.13,7.17
"127",2017-05-01 20:00:00,8.17,27.86339085,27.24,5.89,7.2
"128",2017-05-01 21:00:00,8.17,28.19662474,27.13,5.28,6.76
"129",2017-05-01 22:00:00,8.15,28.47394057,27.14,5.38,6.4
"130",2017-05-01 23:00:00,8.11,29.17967038,27.1,7.83,5.54
"131",2017-05-02 00:00:00,8.13,28.7001335,26.93,5.73,5.87
"132",2017-05-02 01:00:00,8.15,28.41416037,26.81,4.84,5.98
"133",2017-05-02 02:00:00,8.15,28.3450984,26.68,4.64,6.03
"134",2017-05-02 03:00:00,8.11,28.93233722,26.65,5.21,5.3
"135",2017-05-02 04:00:00,8.06,29.88667573,26.65,9.55,4.79
"136",2017-05-02 05:00:00,8.06,30.07819398,26.63,9.56,4.83
"137",2017-05-02 06:00:00,8.08,30.18678347,26.63,9.48,4.7
"138",2017-05-02 07:00:00,8.07,30.15400614,26.58,10.82,4.49
"139",2017-05-02 08:00:00,8.07,30.14288686,26.56,7.33,4.62
"140",2017-05-02 09:00:00,8.08,30.19633248,26.63,7.89,4.56
"141",2017-05-02 10:00:00,8.1,30.06747496,26.7,5.97,4.67
"142",2017-05-02 11:00:00,8.12,29.25017226,26.81,4.4,5.36
"143",2017-05-02 12:00:00,8.12,28.91244571,26.76,11.76,5.92
"144",2017-05-02 13:00:00,8.12,28.97172645,26.65,10.27,5.83
"145",2017-05-02 14:00:00,8.12,29.02893762,26.62,10.55,5.97
"146",2017-05-02 15:00:00,8.13,29.05290539,26.72,9.23,6.3
"147",2017-05-02 16:00:00,8.14,29.04377107,26.84,7.25,6.39
"148",2017-05-02 17:00:00,8.15,29.00107002,26.91,6.45,6.64
"149",2017-05-02 18:00:00,8.16,28.95108255,26.9,4.59,6.65
"150",2017-05-02 19:00:00,8.16,28.93927726,26.86,5.12,6.58
"151",2017-05-02 20:00:00,8.15,28.95966734,26.79,5.08,6.39
"152",2017-05-02 21:00:00,8.13,29.01225416,26.72,5.05,6.11
"153",2017-05-02 22:00:00,8.12,29.09155279,26.63,4.93,6.01
"154",2017-05-02 23:00:00,8.11,29.17952721,26.56,5.69,6.03
"155",2017-05-03 00:00:00,8.1,29.23296578,26.48,4.51,5.92
"156",2017-05-03 01:00:00,8.09,29.29306915,26.45,5.57,5.71
"157",2017-05-03 02:00:00,8.08,29.35003733,26.4,5.61,5.52
"158",2017-05-03 03:00:00,8.07,29.38680777,26.36,5.59,5.41
"159",2017-05-03 04:00:00,8.06,29.453773,26.34,4.94,5.21
"160",2017-05-03 05:00:00,8.05,29.49004604,26.3,4.8,5.03
"161",2017-05-03 06:00:00,8.05,29.46163535,26.16,3.92,4.79
"162",2017-05-03 07:00:00,8.05,29.47251168,26.11,3.86,4.92
"163",2017-05-03 08:00:00,8.05,29.47963526,26.16,4.47,5.08
"164",2017-05-03 09:00:00,8.07,29.47312985,26.3,4.76,5.49
"165",2017-05-03 10:00:00,8.08,29.48688583,26.44,5.31,5.65
"166",2017-05-03 11:00:00,8.11,29.71960056,26.82,4.91,6.41
"167",2017-05-03 12:00:00,8.14,29.74408068,26.99,5.44,6.94
"168",2017-05-03 13:00:00,8.17,29.76583697,27.22,5.42,7.53
"169",2017-05-03 14:00:00,8.17,29.72937083,27.36,5.85,7.73
"170",2017-05-03 15:00:00,8.19,29.76740139,27.53,5.84,8.02
"171",2017-05-03 16:00:00,8.19,29.75441959,27.62,5.62,8.08
"172",2017-05-03 17:00:00,8.2,29.77833229,27.64,5.45,8.18
"173",2017-05-03 18:00:00,8.21,29.84856203,27.6,5.73,8.26
"174",2017-05-03 19:00:00,8.21,29.84192226,27.42,5.95,8.11
"175",2017-05-03 20:00:00,8.2,29.8868773,27.29,6.2,7.8
"176",2017-05-03 21:00:00,8.2,29.92234043,27.15,5.26,7.65
"177",2017-05-03 22:00:00,8.2,29.94759387,27,5.24,7.41
"178",2017-05-03 23:00:00,8.19,29.95299214,26.85,5.15,7.24
"179",2017-05-04 00:00:00,8.18,29.92657616,26.72,5.03,6.95
"180",2017-05-04 01:00:00,8.17,29.92240373,26.61,4.71,6.7
"181",2017-05-04 02:00:00,8.17,29.93556557,26.52,4.06,6.61
"182",2017-05-04 03:00:00,8.17,30.00428357,26.46,4.26,6.45
"183",2017-05-04 04:00:00,8.15,30.01562715,26.37,3.69,5.96
"184",2017-05-04 05:00:00,8.15,30.01446201,26.29,4.6,6.14
"185",2017-05-04 06:00:00,8.15,29.97738926,26.18,3.81,5.96
"186",2017-05-04 07:00:00,8.14,29.93405764,26.11,4.1,5.86
"187",2017-05-04 08:00:00,8.14,29.91281217,26.12,3.61,5.6
"188",2017-05-04 09:00:00,8.15,29.78991469,26.23,3.33,6.06
"189",2017-05-04 10:00:00,8.16,29.64774475,26.45,4.06,6.32
"190",2017-05-04 11:00:00,8.17,29.5720111,26.7,4.34,6.51
"191",2017-05-04 12:00:00,8.18,29.59172337,26.97,3.82,6.94
"192",2017-05-04 13:00:00,8.19,29.61466126,27.26,3.96,7.23
"193",2017-05-04 14:00:00,8.18,29.672928,27.5,4.41,7.29
"194",2017-05-04 15:00:00,8.17,29.66145784,27.71,4.84,7.21
"195",2017-05-04 16:00:00,8.16,29.60758387,27.81,5.33,7.09
"196",2017-05-04 17:00:00,8.17,29.43713886,27.85,5.26,6.9
"197",2017-05-04 18:00:00,8.18,29.13407368,27.76,3.69,7.07
"198",2017-05-04 19:00:00,8.18,29.11897077,27.71,3.47,6.88
"199",2017-05-04 20:00:00,8.17,29.1038021,27.57,3.37,6.53
"200",2017-05-04 21:00:00,8.16,29.06988099,27.41,3.7,6.44
"201",2017-05-04 22:00:00,8.16,29.10562445,27.22,3.67,6.22
"202",2017-05-04 23:00:00,8.17,29.16710428,27.11,3.19,6.14
"203",2017-05-05 00:00:00,8.16,29.13314984,27.01,3.05,6.12
"204",2017-05-05 01:00:00,8.16,29.11787019,26.87,3.3,5.99
"205",2017-05-05 02:00:00,8.16,29.0662,26.74,3.18,5.69
"206",2017-05-05 03:00:00,8.16,29.0884044,26.58,2.49,5.77
"207",2017-05-05 04:00:00,8.16,29.08048031,26.46,2.81,5.64
"208",2017-05-05 05:00:00,8.15,29.05341973,26.31,3.5,5.68
"209",2017-05-05 06:00:00,8.14,29.052842,26.2,2.31,5.46
"210",2017-05-05 07:00:00,8.12,29.0192749,26.12,2.28,5.41
"211",2017-05-05 08:00:00,8.11,29.01952477,26.05,2.73,5.43
"212",2017-05-05 09:00:00,8.11,29.02172171,26.01,2.47,5.52
"213",2017-05-05 10:00:00,8.11,29.03183156,26.02,2.65,5.64
"214",2017-05-05 11:00:00,8.13,29.05111472,26.13,2.68,6.01
"215",2017-05-05 12:00:00,8.14,29.05558566,26.23,3.26,6.32
"216",2017-05-05 13:00:00,8.15,29.05935886,26.4,3.47,6.62
"217",2017-05-05 14:00:00,8.17,29.06800805,26.51,4.14,6.89
"218",2017-05-05 15:00:00,8.18,28.97052702,26.58,3.87,7.04
"219",2017-05-05 16:00:00,8.19,28.9407685,26.62,4.75,7.17
"220",2017-05-05 17:00:00,8.19,29.07819263,26.5,8.91,7.15
"221",2017-05-05 18:00:00,8.18,29.12482839,26.34,11.77,6.84
"222",2017-05-05 19:00:00,8.17,29.14072369,26.09,9.62,6.61
"223",2017-05-05 20:00:00,8.17,29.13491814,25.84,7.77,6.44
"224",2017-05-05 21:00:00,8.16,29.15258315,25.64,5.83,6.13
"225",2017-05-05 22:00:00,8.18,28.91279543,25.44,5.45,6.48
"226",2017-05-05 23:00:00,8.17,28.68964896,25.31,4.1,6.32
"227",2017-05-06 00:00:00,8.15,28.53484022,25.11,4.44,6.08
"228",2017-05-06 01:00:00,8.13,28.50614448,24.83,3.65,6.14
"229",2017-05-06 02:00:00,8.12,28.49821217,24.54,3.53,6.05
"230",2017-05-06 03:00:00,8.12,28.5122798,24.32,6.56,6.04
"231",2017-05-06 04:00:00,8.12,28.53319452,23.96,9.55,6.06
"232",2017-05-06 05:00:00,8.12,28.53108782,23.68,11.92,6.06
"233",2017-05-06 06:00:00,8.12,28.72387614,23.58,12.69,5.98
"234",2017-05-06 07:00:00,8.13,29.03599776,23.25,19.04,5.95
"235",2017-05-06 08:00:00,8.16,29.42650993,22.89,15.71,6.08
"236",2017-05-06 09:00:00,8.15,29.02068755,22.56,11.67,6.21
"237",2017-05-06 10:00:00,8.12,28.65894745,22.27,13.85,6.33
"238",2017-05-06 11:00:00,8.12,28.79328123,22.41,23.23,6.5
"239",2017-05-06 12:00:00,8.12,28.91684486,22.71,15.56,6.75
"240",2017-05-06 13:00:00,8.12,29.02266427,23.06,12.89,6.89
"241",2017-05-06 14:00:00,8.14,29.13974434,23.3,10.21,7.23
"242",2017-05-06 15:00:00,8.16,29.18328485,23.28,8.9,7.46
"243",2017-05-06 16:00:00,8.18,29.18785861,23.53,8.31,7.73
"244",2017-05-06 17:00:00,8.18,29.08654774,23.8,6.94,7.8
"245",2017-05-06 18:00:00,8.18,28.97850256,23.84,5.91,7.67
"246",2017-05-06 19:00:00,8.18,28.97160621,23.78,6.55,7.53
"247",2017-05-06 20:00:00,8.17,28.96462768,23.63,5.86,7.3
"248",2017-05-06 21:00:00,8.17,29.06054745,23.44,6.74,7.25
"249",2017-05-06 22:00:00,8.16,29.04352875,23.26,6.5,7.08
"250",2017-05-06 23:00:00,8.16,29.03437024,23.07,6.81,6.97
"251",2017-05-07 00:00:00,8.16,29.06725525,22.86,6.76,6.88
"252",2017-05-07 01:00:00,8.17,29.20507292,22.63,5.44,6.66
"253",2017-05-07 02:00:00,8.16,29.30092766,22.39,4.86,6.52
"254",2017-05-07 03:00:00,8.15,29.26932919,22.32,4.51,6.12
"255",2017-05-07 04:00:00,8.14,29.23368373,22.3,4.07,5.9
"256",2017-05-07 05:00:00,8.12,29.19040846,22.23,4.5,6.14
"257",2017-05-07 06:00:00,8.12,29.21849053,22.14,4.24,5.85
"258",2017-05-07 07:00:00,8.11,29.20326735,22.07,4.41,5.84
"259",2017-05-07 08:00:00,8.12,29.22476403,21.99,4.22,6.13
"260",2017-05-07 09:00:00,8.14,29.223716,22.04,4.33,6.32
"261",2017-05-07 10:00:00,8.15,29.25530948,22.07,3.68,6.7
"262",2017-05-07 11:00:00,8.17,29.27641514,22.2,3.24,6.95
"263",2017-05-07 12:00:00,8.17,29.28054312,22.44,3.05,6.99
"264",2017-05-07 13:00:00,8.2,29.26853566,22.63,3.32,7.68
"265",2017-05-07 14:00:00,8.2,29.25796642,23.14,3.82,8.07
"266",2017-05-07 15:00:00,8.19,29.30003701,23.81,4.25,7.97
"267",2017-05-07 16:00:00,8.21,29.28978361,24.02,3.56,8.28
"268",2017-05-07 17:00:00,8.21,29.2935846,24.11,3.01,8.24
"269",2017-05-07 18:00:00,8.21,29.28215432,24.1,3.4,8.03
"270",2017-05-07 19:00:00,8.22,29.29794739,23.99,3.28,8.4
"271",2017-05-07 20:00:00,8.2,29.31960886,23.9,4.26,7.79
"272",2017-05-07 21:00:00,8.21,29.36169324,23.8,2.84,7.92
"273",2017-05-07 22:00:00,8.2,29.37648577,23.7,3.73,7.6
"274",2017-05-07 23:00:00,8.19,29.3586684,23.58,3.09,7.56
"275",2017-05-08 00:00:00,8.19,29.32416546,23.47,3.54,7.36
"276",2017-05-08 01:00:00,8.17,29.30355286,23.36,2.87,6.88
"277",2017-05-08 02:00:00,8.17,29.2617372,23.25,3.25,7.04
"278",2017-05-08 03:00:00,8.17,29.26598522,23.12,3.35,6.77
"279",2017-05-08 04:00:00,8.17,29.27692799,23.01,3.06,6.58
"280",2017-05-08 05:00:00,8.16,29.29136694,22.94,3.04,6.61
"281",2017-05-08 06:00:00,8.15,29.31068672,22.86,2.63,6.18
"282",2017-05-08 07:00:00,8.16,29.32997644,22.81,2.65,6.51
"283",2017-05-08 08:00:00,8.16,29.36820655,22.81,3.91,6.61
"284",2017-05-08 09:00:00,8.17,29.39624567,22.86,2.81,6.79
"285",2017-05-08 10:00:00,8.18,29.42229061,22.94,4.12,6.71
"286",2017-05-08 11:00:00,8.19,29.43054085,23.07,3.39,6.94
"287",2017-05-08 12:00:00,8.2,29.42407942,23.26,3.55,7.45
"288",2017-05-08 13:00:00,8.21,29.39899548,23.64,3.54,8.06
"289",2017-05-08 14:00:00,8.22,29.4112716,24.3,3.18,8.56
"290",2017-05-08 15:00:00,8.21,29.48380176,25.01,3.02,8.37
"291",2017-05-08 16:00:00,8.22,29.46658801,25.17,2.87,8.45
"292",2017-05-08 17:00:00,8.23,29.46419077,25.08,2.72,8.63
"293",2017-05-08 18:00:00,8.23,29.47852435,24.95,2.73,8.49
"294",2017-05-08 19:00:00,8.22,29.50033375,24.84,2.71,8.18
"295",2017-05-08 20:00:00,8.22,29.53352983,24.8,2.58,7.95
"296",2017-05-08 21:00:00,8.21,29.53960572,24.69,2.73,7.64
"297",2017-05-08 22:00:00,8.2,29.54189774,24.58,3.13,7.31
"298",2017-05-08 23:00:00,8.2,29.56255046,24.52,3.16,6.98
"299",2017-05-09 00:00:00,8.18,29.55352616,24.44,3.08,6.72
"300",2017-05-09 01:00:00,8.17,29.48808053,24.33,3.2,6.72
"301",2017-05-09 02:00:00,8.15,29.48445724,24.3,2.61,6.37
"302",2017-05-09 03:00:00,8.17,29.49341826,24.21,2.72,6.43
"303",2017-05-09 04:00:00,8.17,29.51625644,24.15,2.56,6.58
"304",2017-05-09 05:00:00,8.16,29.54966094,24.11,2.81,6.26
"305",2017-05-09 06:00:00,8.16,29.56942946,24.01,2.87,6.15
