Data Table for Daily Case Trends - North Carolina
Date generated: Sun Nov 07 2021 12:42:02 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg
North Carolina,Apr  2 2021,1814,1691
North Carolina,Apr  1 2021,1947,1711
North Carolina,Mar 31 2021,1942,1727
North Carolina,Mar 30 2021,2284,1737
North Carolina,Mar 29 2021,996,1750
North Carolina,Mar 28 2021,1103,1747
North Carolina,Mar 27 2021,1756,1739
North Carolina,Mar 26 2021,1955,1728
North Carolina,Mar 25 2021,2053,1677
North Carolina,Mar 24 2021,2018,1669
North Carolina,Mar 23 2021,2372,1639
North Carolina,Mar 22 2021,976,1621
North Carolina,Mar 21 2021,1043,1622
North Carolina,Mar 20 2021,1680,1635
North Carolina,Mar 19 2021,1598,1633
North Carolina,Mar 18 2021,1996,1637
North Carolina,Mar 17 2021,1812,1615
North Carolina,Mar 16 2021,2245,1588
North Carolina,Mar 15 2021,985,1588
North Carolina,Mar 14 2021,1129,1573
North Carolina,Mar 13 2021,1668,1551
North Carolina,Mar 12 2021,1630,1543
North Carolina,Mar 11 2021,1840,1553
North Carolina,Mar 10 2021,1623,1563
North Carolina,Mar  9 2021,2244,1633
North Carolina,Mar  8 2021,881,1676
North Carolina,Mar  7 2021,975,1691
North Carolina,Mar  6 2021,1614,1722
North Carolina,Mar  5 2021,1697,1763
North Carolina,Mar  4 2021,1909,1822
North Carolina,Mar  3 2021,2114,1873
North Carolina,Mar  2 2021,2546,1930
North Carolina,Mar  1 2021,983,2029
North Carolina,Feb 28 2021,1195,2077
North Carolina,Feb 27 2021,1900,2130
North Carolina,Feb 26 2021,2110,2243
North Carolina,Feb 25 2021,2267,2248
North Carolina,Feb 24 2021,2510,2342
North Carolina,Feb 23 2021,3239,2440
North Carolina,Feb 22 2021,1322,2508
North Carolina,Feb 21 2021,1568,2532
North Carolina,Feb 20 2021,2686,2549
North Carolina,Feb 19 2021,2145,2608
North Carolina,Feb 18 2021,2925,2778
North Carolina,Feb 17 2021,3196,2878
North Carolina,Feb 16 2021,3716,2968
North Carolina,Feb 15 2021,1493,3137
North Carolina,Feb 14 2021,1683,3189
North Carolina,Feb 13 2021,3098,3282
North Carolina,Feb 12 2021,3338,3418
North Carolina,Feb 11 2021,3622,3546
North Carolina,Feb 10 2021,3826,3671
North Carolina,Feb  9 2021,4902,3807
North Carolina,Feb  8 2021,1858,3981
North Carolina,Feb  7 2021,2335,4024
North Carolina,Feb  6 2021,4045,4082
North Carolina,Feb  5 2021,4238,4208
North Carolina,Feb  4 2021,4499,4301
North Carolina,Feb  3 2021,4777,4447
North Carolina,Feb  2 2021,6117,4643
North Carolina,Feb  1 2021,2159,4834
North Carolina,Jan 31 2021,2739,4930
North Carolina,Jan 30 2021,4927,5042
North Carolina,Jan 29 2021,4894,5208
North Carolina,Jan 28 2021,5521,5420
North Carolina,Jan 27 2021,6150,5584
North Carolina,Jan 26 2021,7453,5794
North Carolina,Jan 25 2021,2830,5795
North Carolina,Jan 24 2021,3521,5850
North Carolina,Jan 23 2021,6093,5910
North Carolina,Jan 22 2021,6375,6012
North Carolina,Jan 21 2021,6670,6190
North Carolina,Jan 20 2021,7622,6365
North Carolina,Jan 19 2021,7455,6495
North Carolina,Jan 18 2021,3219,6984
North Carolina,Jan 17 2021,3938,7086
North Carolina,Jan 16 2021,6810,7199
North Carolina,Jan 15 2021,7617,7290
North Carolina,Jan 14 2021,7900,7555
North Carolina,Jan 13 2021,8529,7891
North Carolina,Jan 12 2021,10875,8350
North Carolina,Jan 11 2021,3934,8965
North Carolina,Jan 10 2021,4731,9138
North Carolina,Jan  9 2021,7447,9435
North Carolina,Jan  8 2021,9474,8859
North Carolina,Jan  7 2021,10251,8798
North Carolina,Jan  6 2021,11743,8856
North Carolina,Jan  5 2021,15181,8771
North Carolina,Jan  4 2021,5141,8351
North Carolina,Jan  3 2021,6808,8221
North Carolina,Jan  2 2021,3418,7951
North Carolina,Jan  1 2021,9048,7601
North Carolina,Dec 31 2020,10659,6901
North Carolina,Dec 30 2020,11145,6412
North Carolina,Dec 29 2020,12244,5816
North Carolina,Dec 28 2020,4226,5404
North Carolina,Dec 27 2020,4921,5228
North Carolina,Dec 26 2020,968,5073
North Carolina,Dec 25 2020,4144,5926
North Carolina,Dec 24 2020,7238,6405
North Carolina,Dec 23 2020,6977,6302
North Carolina,Dec 22 2020,9355,6431
North Carolina,Dec 21 2020,2994,6382
North Carolina,Dec 20 2020,3836,6394
North Carolina,Dec 19 2020,6941,6360
North Carolina,Dec 18 2020,7498,6311
North Carolina,Dec 17 2020,6514,6187
North Carolina,Dec 16 2020,7880,6208
North Carolina,Dec 15 2020,9014,6073
North Carolina,Dec 14 2020,3075,5989
North Carolina,Dec 13 2020,3604,5912
North Carolina,Dec 12 2020,6592,5894
North Carolina,Dec 11 2020,6636,5827
North Carolina,Dec 10 2020,6656,5770
North Carolina,Dec  9 2020,6937,5761
North Carolina,Dec  8 2020,8427,5808
North Carolina,Dec  7 2020,2536,5810
North Carolina,Dec  6 2020,3475,5834
North Carolina,Dec  5 2020,6123,5776
North Carolina,Dec  4 2020,6240,5460
North Carolina,Dec  3 2020,6593,4678
North Carolina,Dec  2 2020,7262,4392
North Carolina,Dec  1 2020,8442,4042
North Carolina,Nov 30 2020,2704,3681
North Carolina,Nov 29 2020,3071,3540
North Carolina,Nov 28 2020,3910,3396
North Carolina,Nov 27 2020,767,3379
North Carolina,Nov 26 2020,4594,3833
North Carolina,Nov 25 2020,4810,3747
North Carolina,Nov 24 2020,5917,3716
North Carolina,Nov 23 2020,1716,3634
North Carolina,Nov 22 2020,2062,3635
North Carolina,Nov 21 2020,3793,3626
North Carolina,Nov 20 2020,3945,3642
North Carolina,Nov 19 2020,3992,3608
North Carolina,Nov 18 2020,4589,3531
North Carolina,Nov 17 2020,5344,3421
North Carolina,Nov 16 2020,1726,3314
North Carolina,Nov 15 2020,1995,3284
North Carolina,Nov 14 2020,3904,3234
North Carolina,Nov 13 2020,3706,3060
North Carolina,Nov 12 2020,3459,2938
North Carolina,Nov 11 2020,3814,2851
North Carolina,Nov 10 2020,4598,2726
North Carolina,Nov  9 2020,1516,2570
North Carolina,Nov  8 2020,1645,2498
North Carolina,Nov  7 2020,2682,2430
North Carolina,Nov  6 2020,2857,2399
North Carolina,Nov  5 2020,2845,2312
North Carolina,Nov  4 2020,2941,2294
North Carolina,Nov  3 2020,3507,2258
North Carolina,Nov  2 2020,1014,2233
North Carolina,Nov  1 2020,1169,2232
North Carolina,Oct 31 2020,2461,2235
North Carolina,Oct 30 2020,2250,2234
North Carolina,Oct 29 2020,2722,2258
North Carolina,Oct 28 2020,2683,2255
North Carolina,Oct 27 2020,3334,2262
North Carolina,Oct 26 2020,1006,2232
North Carolina,Oct 25 2020,1191,2220
North Carolina,Oct 24 2020,2454,2201
