Data Table for Daily Case Trends - Florida
Date generated: Sun Nov 07 2021 12:43:08 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg
Florida,Aug 23 2020,2045,3771
Florida,Aug 22 2020,2988,3860
Florida,Aug 21 2020,4289,3975
Florida,Aug 20 2020,4612,4254
Florida,Aug 19 2020,4518,4463
Florida,Aug 18 2020,4101,4703
Florida,Aug 17 2020,3848,5265
Florida,Aug 16 2020,2669,5536
Florida,Aug 15 2020,3790,5745
Florida,Aug 14 2020,6242,6076
Florida,Aug 13 2020,6076,6370
Florida,Aug 12 2020,6196,6575
Florida,Aug 11 2020,8040,6768
Florida,Aug 10 2020,5743,6392
Florida,Aug  9 2020,4133,6334
Florida,Aug  8 2020,6103,6428
Florida,Aug  7 2020,8303,6560
Florida,Aug  6 2020,7511,6724
Florida,Aug  5 2020,7547,6917
Florida,Aug  4 2020,5406,7238
Florida,Aug  3 2020,5335,7792
Florida,Aug  2 2020,4794,8331
Florida,Aug  1 2020,7027,8899
Florida,Jul 31 2020,9450,9212
Florida,Jul 30 2020,8860,9573
Florida,Jul 29 2020,9796,10060
Florida,Jul 28 2020,9288,10097
Florida,Jul 27 2020,9103,10147
Florida,Jul 26 2020,8775,10165
Florida,Jul 25 2020,9217,10391
Florida,Jul 24 2020,11976,10839
Florida,Jul 23 2020,12266,10577
Florida,Jul 22 2020,10057,10419
Florida,Jul 21 2020,9639,10944
Florida,Jul 20 2020,9227,10991
Florida,Jul 19 2020,10360,10981
Florida,Jul 18 2020,12352,11238
Florida,Jul 17 2020,10139,11634
Florida,Jul 16 2020,11165,11646
Florida,Jul 15 2020,13726,11656
Florida,Jul 14 2020,9968,10961
Florida,Jul 13 2020,9158,10955
Florida,Jul 12 2020,12162,10686
Florida,Jul 11 2020,15124,9837
Florida,Jul 10 2020,10222,9080
Florida,Jul  9 2020,11237,9234
Florida,Jul  8 2020,8860,8957
Florida,Jul  7 2020,9924,9037
Florida,Jul  6 2020,7275,8552
Florida,Jul  5 2020,6217,8371
Florida,Jul  4 2020,9828,8248
Florida,Jul  3 2020,11298,8034
Florida,Jul  2 2020,9298,7779
Florida,Jul  1 2020,9422,7707
Florida,Jun 30 2020,6526,7073
Florida,Jun 29 2020,6014,6920
Florida,Jun 28 2020,5354,6603
Florida,Jun 27 2020,8329,6230
Florida,Jun 26 2020,9511,5699
Florida,Jun 25 2020,8798,4911
Florida,Jun 24 2020,4982,4126
Florida,Jun 23 2020,5454,3799
Florida,Jun 22 2020,3795,3367
Florida,Jun 21 2020,2746,3209
Florida,Jun 20 2020,4609,3068
Florida,Jun 19 2020,3993,2714
Florida,Jun 18 2020,3309,2496
Florida,Jun 17 2020,2691,2257
Florida,Jun 16 2020,2429,2110
Florida,Jun 15 2020,2692,1941
Florida,Jun 14 2020,1756,1721
Florida,Jun 13 2020,2131,1617
Florida,Jun 12 2020,2468,1512
Florida,Jun 11 2020,1633,1337
Florida,Jun 10 2020,1666,1248
Florida,Jun  9 2020,1244,1191
Florida,Jun  8 2020,1153,1186
Florida,Jun  7 2020,1029,1107
Florida,Jun  6 2020,1392,1060
Florida,Jun  5 2020,1242,985
Florida,Jun  4 2020,1015,915
Florida,Jun  3 2020,1264,945
Florida,Jun  2 2020,1209,851
Florida,Jun  1 2020,602,746
Florida,May 31 2020,699,732
Florida,May 30 2020,870,772
Florida,May 29 2020,751,725
Florida,May 28 2020,1220,723
Florida,May 27 2020,611,652
Florida,May 26 2020,474,734
Florida,May 25 2020,501,734
Florida,May 24 2020,979,750
Florida,May 23 2020,544,703
Florida,May 22 2020,733,788
Florida,May 21 2020,724,752
Florida,May 20 2020,1187,760
Florida,May 19 2020,474,704
Florida,May 18 2020,612,750
Florida,May 17 2020,653,749
Florida,May 16 2020,1136,711
Florida,May 15 2020,479,645
Florida,May 14 2020,784,687
Florida,May 13 2020,790,624
Florida,May 12 2020,799,601
Florida,May 11 2020,606,570
Florida,May 10 2020,383,566
Florida,May  9 2020,680,620
Florida,May  8 2020,771,613
Florida,May  7 2020,343,604
Florida,May  6 2020,627,694
Florida,May  5 2020,584,678
Florida,May  4 2020,574,643
Florida,May  3 2020,766,668
Florida,May  2 2020,631,633
Florida,May  1 2020,703,656
Florida,Apr 30 2020,976,661
Florida,Apr 29 2020,514,694
Florida,Apr 28 2020,343,720
Florida,Apr 27 2020,747,794
Florida,Apr 26 2020,519,794
Florida,Apr 25 2020,794,821
Florida,Apr 24 2020,734,814
Florida,Apr 23 2020,1212,863
Florida,Apr 22 2020,697,861
Florida,Apr 21 2020,859,890
Florida,Apr 20 2020,745,852
Florida,Apr 19 2020,711,877
Florida,Apr 18 2020,741,891
Florida,Apr 17 2020,1080,937
Florida,Apr 16 2020,1198,939
Florida,Apr 15 2020,900,915
Florida,Apr 14 2020,592,936
Florida,Apr 13 2020,922,995
Florida,Apr 12 2020,809,1029
Florida,Apr 11 2020,1063,1022
Florida,Apr 10 2020,1089,1035
Florida,Apr  9 2020,1033,1062
Florida,Apr  8 2020,1046,1096
Florida,Apr  7 2020,1005,1093
Florida,Apr  6 2020,1159,1079
Florida,Apr  5 2020,765,1035
Florida,Apr  4 2020,1149,1051
Florida,Apr  3 2020,1280,987
Florida,Apr  2 2020,1268,899
Florida,Apr  1 2020,1031,794
Florida,Mar 31 2020,903,718
Florida,Mar 30 2020,851,629
Florida,Mar 29 2020,875,533
Florida,Mar 28 2020,707,450
Florida,Mar 27 2020,659,378
Florida,Mar 26 2020,535,304
Florida,Mar 25 2020,498,239
Florida,Mar 24 2020,282,182
Florida,Mar 23 2020,176,150
Florida,Mar 22 2020,297,129
Florida,Mar 21 2020,203,91
Florida,Mar 20 2020,142,68
Florida,Mar 19 2020,76,50
Florida,Mar 18 2020,99,40
Florida,Mar 17 2020,62,27
Florida,Mar 16 2020,27,18
Florida,Mar 15 2020,31,15
Florida,Mar 14 2020,40,11
Florida,Mar 13 2020,20,6
Florida,Mar 12 2020,5,3
Florida,Mar 11 2020,6,2
Florida,Mar 10 2020,2,2
Florida,Mar  9 2020,5,2
Florida,Mar  8 2020,1,1
Florida,Mar  7 2020,4,1
Florida,Mar  6 2020,0,1
Florida,Mar  5 2020,1,1
Florida,Mar  4 2020,4,1
Florida,Mar  3 2020,1,0
Florida,Mar  2 2020,2,0
Florida,Mar  1 2020,0,0
Florida,Feb 29 2020,0,0
Florida,Feb 28 2020,0,0
Florida,Feb 27 2020,0,0
Florida,Feb 26 2020,0,0
Florida,Feb 25 2020,0,0
Florida,Feb 24 2020,0,0
Florida,Feb 23 2020,0,0
Florida,Feb 22 2020,0,0
Florida,Feb 21 2020,0,0
Florida,Feb 20 2020,0,0
Florida,Feb 19 2020,0,0
Florida,Feb 18 2020,0,0
Florida,Feb 17 2020,0,0
Florida,Feb 16 2020,0,0
Florida,Feb 15 2020,0,0
Florida,Feb 14 2020,0,0
Florida,Feb 13 2020,0,0
Florida,Feb 12 2020,0,0
Florida,Feb 11 2020,0,0
Florida,Feb 10 2020,0,0
Florida,Feb  9 2020,0,0
Florida,Feb  8 2020,0,0
Florida,Feb  7 2020,0,0
Florida,Feb  6 2020,0,0
Florida,Feb  5 2020,0,0
Florida,Feb  4 2020,0,0
Florida,Feb  3 2020,0,0
Florida,Feb  2 2020,0,0
Florida,Feb  1 2020,0,0
Florida,Jan 31 2020,0,0
Florida,Jan 30 2020,0,0
Florida,Jan 29 2020,0,0
Florida,Jan 28 2020,0,0
Florida,Jan 27 2020,0,0
Florida,Jan 26 2020,0,0
Florida,Jan 25 2020,0,0
Florida,Jan 24 2020,0,0
Florida,Jan 23 2020,0,0
